	ds	score
104	/data/archive/hou/hougndrad60sM1.b1	96.33943427620632
105	/data/archive/hou/houirt200msM1.a1	97.12230215827338
106	/data/archive/hou/houirtM1.b1	96.55667144906744
107	/data/archive/hou/houldM1.b1	99.39668174962293
108	/data/archive/hou/houldS1.b1	99.5
109	/data/archive/hou/houldS2.b1	100.0
110	/data/archive/hou/houldS3.b1	100.0
111	/data/archive/hou/houldquantsM1.c1	100.0
112	/data/archive/hou/houldquantsS1.c1	100.0
113	/data/archive/hou/houldquantsS2.c1	100.0
114	/data/archive/hou/houldquantsS3.c1	100.0
115	/data/archive/hou/houmawsM1.b1	98.71794871794872
116	/data/archive/hou/houmawsS3.b1	100.0
117	/data/archive/hou/houmetM1.b1	97.98561151079137
118	/data/archive/hou/houmetS3.b1	99.27272727272727
119	/data/archive/hou/houmfr7nch10mM1.b1	94.4
120	/data/archive/hou/houmfrsr7nchM1.b1	97.2461273666093
121	/data/archive/hou/houmfrsr7nchlangleyM1.c1	100.0
122	/data/archive/hou/houmfrsr7nchlangplotM1.c1	0.2629272567922811
123	/data/archive/hou/houmplpolfsM1.b1	95.74468085106383
124	/data/archive/hou/houmwr3cM1.b1	100.0
125	/data/archive/hou/houmwrhfM1.b1	100.0
126	/data/archive/hou/houmwrhfcal150M1.a1	100.0
127	/data/archive/hou/houmwrhfcal90M1.a1	100.0
128	/data/archive/hou/houmwrlosM1.b1	95.24517087667162
129	/data/archive/hou/houmwrlosS3.b1	93.75
130	/data/archive/hou/hounfov2chM1.b1	99.43100995732574
131	/data/archive/hou/housashemfrM1.b1	95.95959595959596
132	/data/archive/hou/housashenirM1.b1	95.30201342281879
133	/data/archive/hou/housashevisM1.b1	95.30201342281879
134	/data/archive/hou/housaszefilterbandsM1.a1	98.67724867724868
135	/data/archive/hou/housaszenirM1.a1	98.94179894179894
136	/data/archive/hou/housaszevisM1.a1	98.94179894179894
137	/data/archive/hou/housebsM1.b1	99.62157048249763
138	/data/archive/hou/houskyrad60sM1.b1	96.09690444145356
139	/data/archive/hou/houstereocamaauxS5.a1	100.0
140	/data/archive/hou/houstereocambauxS5.a1	100.0
141	/data/archive/hou/houtbscpcS3.b1	9.009009009009006
142	/data/archive/hou/houtbsgroundS3.b1	96.72131147540983
143	/data/archive/hou/houtbsimetxq2S3.b1	3.937007874015748
144	/data/archive/hou/houtbspopsS3.b1	2.6845637583892596
145	/data/archive/hou/houtsiskycoverM1.b1	95.68345323741008
146	/data/archive/hou/houvdisM1.b1	100.0
147	/data/archive/hou/houvdisdropsM1.b1	100.0
148	/data/archive/hou/houvdisquantsM1.c1	100.0
149	/data/archive/hou/houvisstgridg16v4minnisX1.c1	100.0
150	/data/archive/hou/houvisstpx2dg16minnisX1.c1	0.0
151	/data/archive/hou/houwbpluvio2M1.a1	96.54676258992805
